DatasetName	TargetFile	Type	Platform
TCGA	/Users/marzec01/data/PhD/processed/Illum_HiSeq2000_RNAseq/TCGA/target_TCGA.txt	processed	RNAseq
ICGC	/Users/marzec01/data/PhD/raw/Illum_HiSeq2000_RNAseq/ICGC/target_ICGC.txt	raw	RNAseq
GSE21034	/Users/marzec01/data/PhD/raw/Affy_HuEx1ST/GSE21034/target_GSE21034.txt	raw	Affy_HuEx1ST
GSE29079	/Users/marzec01/data/PhD/raw/Affy_HuEx1ST/GSE29079/target_GSE29079.txt	raw	Affy_HuEx1ST
GSE41408	/Users/marzec01/data/PhD/raw/Affy_HuEx1ST/GSE41408/target_GSE41408.txt	raw	Affy_HuEx1ST
GSE30521	/Users/marzec01/data/PhD/raw/Affy_HuEx1ST/GSE30521/target_GSE30521.txt	raw	Affy_HuEx1ST
GSE17951	/Users/marzec01/data/PhD/raw/Affy_U133Plus2/GSE17951/target_GSE17951.txt	raw	Affy_U133Plus2
E-MEXP-1243	/Users/marzec01/data/PhD/raw/Affy_U133Plus2/E-MEXP-1243/target_E-MEXP-1243.txt	raw	Affy_U133Plus2
GSE55945	/Users/marzec01/data/PhD/raw/Affy_U133Plus2/GSE55945/target_GSE55945.txt	raw	Affy_U133Plus2
GSE3325	/Users/marzec01/data/PhD/raw/Affy_U133Plus2/GSE3325/target_GSE3325.txt	raw	Affy_U133Plus2
GSE45016	/Users/marzec01/data/PhD/raw/Affy_U133Plus2/GSE45016/target_GSE45016.txt	raw	Affy_U133Plus2
E-TABM-26_A	/Users/marzec01/data/PhD/raw/Affy_U133A_B/E-TABM-26/target_E-TABM-26_U133A.txt	raw	Affy_U133A
GSE8218	/Users/marzec01/data/PhD/raw/Affy_U133A/GSE8218/target_GSE8218.txt	raw	Affy_U133A
GSE32269	/Users/marzec01/data/PhD/raw/Affy_U133A/GSE32269/target_GSE32269.txt	raw	Affy_U133A
GSE6919_Av2	/Users/marzec01/data/PhD/raw/Affy_U95Av2_B_C/GSE6919/target_GSE6919_U95Av2.txt	raw	Affy_U95Av2
GSE6919_B	/Users/marzec01/data/PhD/raw/Affy_U95Av2_B_C/GSE6919/target_GSE6919_U95B.txt	raw	Affy_U95B
GSE6919_C	/Users/marzec01/data/PhD/raw/Affy_U95Av2_B_C/GSE6919/target_GSE6919_U95C.txt	raw	Affy_U95C
BI-GDAC	/Users/marzec01/data/PhD/raw/Affy_U95Av2/BI-GDAC/target_BI-GDAC.txt	raw	Affy_U95Av2
GSE1431	/Users/marzec01/data/PhD/raw/Affy_U95Av2/GSE1431/target_GSE1431.txt	raw	Affy_U95Av2
GSE32571	/Users/marzec01/data/PhD/raw/Illum_HT_12_V3/GSE32571/target_GSE32571.txt	raw	Illum_HT_12_V3
