gene_no	ensembl_id
1	ENSG00000000003
2	ENSG00000000005
3	ENSG00000000460
4	ENSG00000000938
5	ENSG00000000971
6	ENSG00000001084
7	ENSG00000001167
8	ENSG00000001460
9	ENSG00000001461
10	ENSG00000001497
11	ENSG00000001561
12	ENSG00000001617
13	ENSG00000001626
14	ENSG00000001629
15	ENSG00000001630
16	ENSG00000001631
17	ENSG00000002016
18	ENSG00000002330
19	ENSG00000002549
20	ENSG00000002586
21	ENSG00000002587
22	ENSG00000002726
23	ENSG00000002745
24	ENSG00000002822
25	ENSG00000002834
26	ENSG00000002919
27	ENSG00000002933
28	ENSG00000003056
29	ENSG00000003096
30	ENSG00000003137
31	ENSG00000003147
32	ENSG00000003249
33	ENSG00000003393
34	ENSG00000003400
35	ENSG00000003402
36	ENSG00000003436
37	ENSG00000003509
38	ENSG00000003756
39	ENSG00000003987
40	ENSG00000003989
41	ENSG00000004059
42	ENSG00000004139
43	ENSG00000004142
44	ENSG00000004399
45	ENSG00000004468
46	ENSG00000004487
47	ENSG00000004534
48	ENSG00000004660
49	ENSG00000004700
50	ENSG00000004766
51	ENSG00000004776
52	ENSG00000004777
53	ENSG00000004779
54	ENSG00000004799
55	ENSG00000004809
56	ENSG00000004838
57	ENSG00000004846
58	ENSG00000004848
59	ENSG00000004864
60	ENSG00000004866
61	ENSG00000004897
62	ENSG00000004975
63	ENSG00000005001
64	ENSG00000005007
65	ENSG00000005020
66	ENSG00000005022
67	ENSG00000005059
68	ENSG00000005073
69	ENSG00000005100
70	ENSG00000005102
71	ENSG00000005108
72	ENSG00000005156
73	ENSG00000005175
74	ENSG00000005187
75	ENSG00000005194
76	ENSG00000005243
77	ENSG00000005249
78	ENSG00000005302
79	ENSG00000005339
80	ENSG00000005379
81	ENSG00000005381
82	ENSG00000005421
83	ENSG00000005436
84	ENSG00000005448
85	ENSG00000005469
86	ENSG00000005483
87	ENSG00000005486
88	ENSG00000005513
89	ENSG00000005700
90	ENSG00000005801
91	ENSG00000005810
92	ENSG00000005812
93	ENSG00000005844
94	ENSG00000005882
95	ENSG00000005884
96	ENSG00000005889
97	ENSG00000005893
98	ENSG00000005955
99	ENSG00000005961
100	ENSG00000006007
101	ENSG00000006015
102	ENSG00000006016
103	ENSG00000006025
104	ENSG00000006042
105	ENSG00000006047
106	ENSG00000006062
107	ENSG00000006071
108	ENSG00000006074
109	ENSG00000006114
110	ENSG00000006118
111	ENSG00000006125
112	ENSG00000006128
113	ENSG00000006194
114	ENSG00000006210
115	ENSG00000006282
116	ENSG00000006283
117	ENSG00000006327
118	ENSG00000006377
119	ENSG00000006432
120	ENSG00000006451
121	ENSG00000006453
122	ENSG00000006459
123	ENSG00000006468
124	ENSG00000006530
125	ENSG00000006555
126	ENSG00000006576
127	ENSG00000006606
128	ENSG00000006607
129	ENSG00000006611
130	ENSG00000006625
131	ENSG00000006634
132	ENSG00000006638
133	ENSG00000006652
134	ENSG00000006695
135	ENSG00000006704
136	ENSG00000006712
137	ENSG00000006715
138	ENSG00000006740
139	ENSG00000006744
140	ENSG00000006747
141	ENSG00000006756
142	ENSG00000006757
143	ENSG00000006788
144	ENSG00000006831
145	ENSG00000006837
146	ENSG00000007001
147	ENSG00000007038
148	ENSG00000007047
149	ENSG00000007062
150	ENSG00000007080
151	ENSG00000007129
152	ENSG00000007168
153	ENSG00000007171
154	ENSG00000007174
155	ENSG00000007202
156	ENSG00000007237
157	ENSG00000007264
158	ENSG00000007306
159	ENSG00000007312
160	ENSG00000007314
161	ENSG00000007341
162	ENSG00000007372
163	ENSG00000007376
164	ENSG00000007392
165	ENSG00000007402
166	ENSG00000007516
167	ENSG00000007520
168	ENSG00000007541
169	ENSG00000007545
170	ENSG00000007866
171	ENSG00000007908
172	ENSG00000007923
173	ENSG00000007933
174	ENSG00000007944
175	ENSG00000007952
176	ENSG00000007968
177	ENSG00000008018
178	ENSG00000008056
179	ENSG00000008083
180	ENSG00000008086
181	ENSG00000008118
182	ENSG00000008128
183	ENSG00000008130
184	ENSG00000008196
185	ENSG00000008256
186	ENSG00000008277
187	ENSG00000008282
188	ENSG00000008283
189	ENSG00000008294
190	ENSG00000008300
191	ENSG00000008311
192	ENSG00000008323
193	ENSG00000008382
194	ENSG00000008394
195	ENSG00000008405
196	ENSG00000008441
197	ENSG00000008513
198	ENSG00000008516
199	ENSG00000008517
200	ENSG00000008710
201	ENSG00000008735
202	ENSG00000008838
203	ENSG00000008853
204	ENSG00000008869
205	ENSG00000008952
206	ENSG00000008988
207	ENSG00000009307
208	ENSG00000009335
209	ENSG00000009413
210	ENSG00000009694
211	ENSG00000009709
212	ENSG00000009724
213	ENSG00000009765
214	ENSG00000009780
215	ENSG00000009790
216	ENSG00000009830
217	ENSG00000009844
218	ENSG00000009950
219	ENSG00000009954
220	ENSG00000010017
221	ENSG00000010030
222	ENSG00000010072
223	ENSG00000010165
224	ENSG00000010219
225	ENSG00000010244
226	ENSG00000010256
227	ENSG00000010270
228	ENSG00000010278
229	ENSG00000010282
230	ENSG00000010292
231	ENSG00000010295
232	ENSG00000010310
233	ENSG00000010318
234	ENSG00000010319
235	ENSG00000010322
236	ENSG00000010327
237	ENSG00000010361
238	ENSG00000010379
239	ENSG00000010404
240	ENSG00000010438
241	ENSG00000010539
242	ENSG00000010610
243	ENSG00000010626
244	ENSG00000010671
245	ENSG00000010704
246	ENSG00000010803
247	ENSG00000010810
248	ENSG00000010818
249	ENSG00000010932
250	ENSG00000011007
251	ENSG00000011009
252	ENSG00000011021
253	ENSG00000011028
254	ENSG00000011052
255	ENSG00000011083
256	ENSG00000011105
257	ENSG00000011114
258	ENSG00000011132
259	ENSG00000011143
260	ENSG00000011198
261	ENSG00000011201
262	ENSG00000011243
263	ENSG00000011258
264	ENSG00000011260
265	ENSG00000011275
266	ENSG00000011295
267	ENSG00000011304
268	ENSG00000011347
269	ENSG00000011376
270	ENSG00000011405
271	ENSG00000011422
272	ENSG00000011426
273	ENSG00000011451
274	ENSG00000011454
275	ENSG00000011465
276	ENSG00000011478
277	ENSG00000011485
278	ENSG00000011523
279	ENSG00000011566
280	ENSG00000011590
281	ENSG00000011600
282	ENSG00000011638
283	ENSG00000011677
284	ENSG00000012048
285	ENSG00000012061
286	ENSG00000012124
287	ENSG00000012171
288	ENSG00000012174
289	ENSG00000012211
290	ENSG00000012223
291	ENSG00000012232
292	ENSG00000012504
293	ENSG00000012660
294	ENSG00000012817
295	ENSG00000012822
296	ENSG00000012963
297	ENSG00000012983
298	ENSG00000013016
299	ENSG00000013275
300	ENSG00000013288
301	ENSG00000013297
302	ENSG00000013306
303	ENSG00000013364
304	ENSG00000013374
305	ENSG00000013375
306	ENSG00000013392
307	ENSG00000013441
308	ENSG00000013523
309	ENSG00000013561
310	ENSG00000013563
311	ENSG00000013588
312	ENSG00000013619
313	ENSG00000013725
314	ENSG00000013810
315	ENSG00000014123
316	ENSG00000014138
317	ENSG00000014164
318	ENSG00000014216
319	ENSG00000014257
320	ENSG00000014824
321	ENSG00000014914
322	ENSG00000015133
323	ENSG00000015153
324	ENSG00000015171
325	ENSG00000015285
326	ENSG00000015413
327	ENSG00000015475
328	ENSG00000015479
329	ENSG00000015520
330	ENSG00000015532
331	ENSG00000015568
332	ENSG00000015592
333	ENSG00000015676
334	ENSG00000016082
335	ENSG00000016391
336	ENSG00000016402
337	ENSG00000016490
338	ENSG00000016602
339	ENSG00000016864
340	ENSG00000017260
341	ENSG00000017427
342	ENSG00000017483
343	ENSG00000017621
344	ENSG00000017797
345	ENSG00000018189
346	ENSG00000018236
347	ENSG00000018280
348	ENSG00000018408
349	ENSG00000018510
350	ENSG00000018607
351	ENSG00000018610
352	ENSG00000018625
353	ENSG00000018699
354	ENSG00000018869
355	ENSG00000019102
356	ENSG00000019169
357	ENSG00000019186
358	ENSG00000019485
359	ENSG00000019505
360	ENSG00000019549
