rank	ensembl_id	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
1	ENSG00000185842	DNAH14	"dynein, axonemal, heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:2945]"	1	q42.12	1	224896262	225399292	-2.590402787	5.90E-74
2	ENSG00000075151	EIF4G3	"eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:HGNC:3298]"	1	p36.12	-1	20806292	21176888	-2.588755474	3.19E-68
3	ENSG00000071537	SEL1L	sel-1 suppressor of lin-12-like (C. elegans) [Source:HGNC Symbol;Acc:HGNC:10717]	14	q31.1	-1	81471549	81533861	3.727314388	1.68E-67
4	ENSG00000179364	PACS2	phosphofurin acidic cluster sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:23794]	14	q32.33	1	105300563	105398147	3.220830251	4.62E-64
5	ENSG00000107566	ERLIN1	ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947]	10	q24.31	-1	100150094	100188334	2.794923471	2.00E-62
6	ENSG00000134602	STK26	serine/threonine protein kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]	X	q26.2	1	132023265	132075943	3.129361514	1.04E-61
7	ENSG00000164300	SERINC5	serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]	5	q14.1	-1	80111651	80256079	-2.444128215	6.64E-61
8	ENSG00000104964	AES	amino-terminal enhancer of split [Source:HGNC Symbol;Acc:HGNC:307]	19	p13.3	-1	3052910	3063107	-2.085458868	1.42E-59
9	ENSG00000116132	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	1	q24.2	1	170662728	170739419	4.172124208	8.23E-58
10	ENSG00000151116	UEVLD	UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866]	11	p15.1	-1	18529609	18588747	3.309228007	9.55E-58
11	ENSG00000131508	UBE2D2	ubiquitin-conjugating enzyme E2D 2 [Source:HGNC Symbol;Acc:HGNC:12475]	5	q31.2	1	139526431	139628433	-1.352536898	2.81E-55
12	ENSG00000140455	USP3	ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626]	15	q22.31	1	63504511	63594640	-2.178841656	5.33E-54
13	ENSG00000075292	ZNF638	zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]	2	p13.3	1	71276561	71435069	-2.501334627	7.93E-54
14	ENSG00000034693	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	6	q24.2	1	143450807	143490010	-1.911222419	4.34E-53
15	ENSG00000160161	CILP2	cartilage intermediate layer protein 2 [Source:HGNC Symbol;Acc:HGNC:24213]	19	p13.11	1	19538248	19546659	-1.558394896	1.10E-52
16	ENSG00000112078	KCTD20	potassium channel tetramerization domain containing 20 [Source:HGNC Symbol;Acc:HGNC:21052]	6	p21.31	1	36442767	36491143	1.960187056	4.47E-52
17	ENSG00000163694	RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	4	p14	-1	40423267	40630875	-2.864392442	6.43E-52
18	ENSG00000124209	RAB22A	"RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]"	20	q13.32	1	58309696	58367507	-1.895039984	9.26E-52
19	ENSG00000151150	ANK3	"ankyrin 3, node of Ranvier (ankyrin G) [Source:HGNC Symbol;Acc:HGNC:494]"	10	q21.2	-1	60026298	60733490	-3.134859915	9.32E-52
20	ENSG00000131844	MCCC2	methylcrotonoyl-CoA carboxylase 2 (beta) [Source:HGNC Symbol;Acc:HGNC:6937]	5	q13.2	1	71587288	71658704	-2.734360898	1.78E-51
21	ENSG00000029725	RABEP1	"rabaptin, RAB GTPase binding effector protein 1 [Source:HGNC Symbol;Acc:HGNC:17677]"	17	p13.2	1	5282265	5385812	-1.977509348	2.38E-51
