gene_no	ensembl_id	rank	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p	rank	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
1	ENSG00000000003	12744	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	X	q22.1	-1	100627109	100639991	0.04	2.21E-01	2371	TSPAN6	tetraspanin 6 [Source:HGNC Symbol;Acc:HGNC:11858]	X	q22.1	-1	100627109	100639991	0.615298391	1.41E-05
2	ENSG00000000005	5180	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	X	q22.1	1	100584802	100599885	-0.45	2.63E-08	7223	TNMD	tenomodulin [Source:HGNC Symbol;Acc:HGNC:17757]	X	q22.1	1	100584802	100599885	-0.233757704	0.395961628
3	ENSG00000000460	4592	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	1	q24.2	1	169662007	169854080	0.22	9.57E-10	5295	C1orf112	chromosome 1 open reading frame 112 [Source:HGNC Symbol;Acc:HGNC:25565]	1	q24.2	1	169662007	169854080	-0.3669229	0.061779809
4	ENSG00000000938	6578	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1	p35.3	-1	27612064	27635277	-0.31	9.71E-06	6831	FGR	FGR proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:3697]	1	p35.3	-1	27612064	27635277	0.306703177	0.301066908
5	ENSG00000000971	516	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1	q31.3	1	196651878	196747504	-1.20	8.45E-46	920	CFH	complement factor H [Source:HGNC Symbol;Acc:HGNC:4883]	1	q31.3	1	196651878	196747504	2.110811624	9.57E-13
6	ENSG00000001084	3510	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6	p12.1	-1	53497341	53616970	-0.33	4.98E-13	1985	GCLC	glutamate-cysteine ligase, catalytic subunit [Source:HGNC Symbol;Acc:HGNC:4311]	6	p12.1	-1	53497341	53616970	0.659741979	1.23E-06
7	ENSG00000001167	2107	NFYA	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:HGNC:7804]	6	p21.1	1	41072945	41099976	0.39	2.94E-20	2070	NFYA	nuclear transcription factor Y, alpha [Source:HGNC Symbol;Acc:HGNC:7804]	6	p21.1	1	41072945	41099976	-0.60774409	2.16E-06
8	ENSG00000001460	12756	STPG1	sperm-tail PG-rich repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:28070]	1	p36.11	-1	24356999	24416934	-0.18	2.23E-01	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9	ENSG00000001461	1069	NIPAL3	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1	p36.11	1	24415794	24472976	-0.92	1.54E-32	2398	NIPAL3	NIPA-like domain containing 3 [Source:HGNC Symbol;Acc:HGNC:25233]	1	p36.11	1	24415794	24472976	1.391036721	1.70E-05
10	ENSG00000001497	7598	LAS1L	LAS1-like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	X	q12	-1	65512582	65534775	0.19	1.88E-04	4640	LAS1L	LAS1-like, ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:25726]	X	q12	-1	65512582	65534775	-0.361889582	0.023120101
11	ENSG00000001561	4129	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359]	6	p21.1	1	46129993	46146699	0.34	4.96E-11	6256	ENPP4	ectonucleotide pyrophosphatase/phosphodiesterase 4 (putative) [Source:HGNC Symbol;Acc:HGNC:3359]	6	p21.1	1	46129993	46146699	0.290872994	0.187329542
12	ENSG00000001617	8781	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:HGNC:10728]	3	p21.31	1	50155045	50189075	-0.09	2.62E-03	6097	SEMA3F	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F [Source:HGNC Symbol;Acc:HGNC:10728]	3	p21.31	1	50155045	50189075	0.230360802	0.158338741
13	ENSG00000001626	3203	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:HGNC:1884]	7	q31.2	1	117465784	117715971	-0.74	2.81E-14	6140	CFTR	cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:HGNC:1884]	7	q31.2	1	117465784	117715971	0.584766166	0.165520423
14	ENSG00000001629	8170	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	7	q21.2	1	92246234	92401384	0.17	7.96E-04	4249	ANKIB1	ankyrin repeat and IBR domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22215]	7	q21.2	1	92246234	92401384	0.455066998	0.011696871
