rank	ensembl_id	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
1	ENSG00000269038			11	q13.1	1	64778954	64779405	3.35	4.60E-32
2	ENSG00000133392	MYH11	"myosin, heavy chain 11, smooth muscle [Source:HGNC Symbol;Acc:HGNC:7569]"	16	p13.11	-1	15703135	15857033	-2.37	5.76E-29
3	ENSG00000175084	DES	desmin [Source:HGNC Symbol;Acc:HGNC:2770]	2	q35	1	219418377	219426739	-2.55	9.12E-28
4	ENSG00000163017	ACTG2	"actin, gamma 2, smooth muscle, enteric [Source:HGNC Symbol;Acc:HGNC:145]"	2	p13.1	1	73892314	73919865	-3.37	1.32E-27
5	ENSG00000076513	ANKRD13A	ankyrin repeat domain 13A [Source:HGNC Symbol;Acc:HGNC:21268]	12	q24.11	1	109999186	110039763	1.83	2.93E-27
6	ENSG00000223519	KIF28P	"kinesin family member 28, pseudogene [Source:HGNC Symbol;Acc:HGNC:49205]"	1	q44	-1	246771837	246830059	3.85	3.46E-25
7	ENSG00000261096			2	q37.1	1	231809846	231812352	2.82	2.05E-22
8	ENSG00000187475	HIST1H1T	"histone cluster 1, H1t [Source:HGNC Symbol;Acc:HGNC:4720]"	6	p22.2	-1	26107419	26108136	2.09	2.90E-22
9	ENSG00000149591	TAGLN	transgelin [Source:HGNC Symbol;Acc:HGNC:11553]	11	q23.3	1	117199321	117204782	-2.01	2.69E-20
10	ENSG00000183036	PCP4	Purkinje cell protein 4 [Source:HGNC Symbol;Acc:HGNC:8742]	21	q22.2	1	39867317	39929397	-2.38	2.87E-19
11	ENSG00000163719	MTMR14	myotubularin related protein 14 [Source:HGNC Symbol;Acc:HGNC:26190]	3	p25.3	1	9649433	9702394	1.24	9.98E-19
12	ENSG00000154330	PGM5	phosphoglucomutase 5 [Source:HGNC Symbol;Acc:HGNC:8908]	9	q21.11	1	68328308	68531061	-1.89	1.51E-17
13	ENSG00000198947	DMD	dystrophin [Source:HGNC Symbol;Acc:HGNC:2928]	X	p21.1	-1	31097677	33339441	-2.49	2.91E-17
14	ENSG00000105810	CDK6	cyclin-dependent kinase 6 [Source:HGNC Symbol;Acc:HGNC:1777]	7	q21.2	-1	92604921	92836594	-3.08	8.58E-17
15	ENSG00000188987	NA	NA	NA	NA	NA	NA	NA	1.82	1.20E-16
16	ENSG00000131171	SH3BGRL	SH3 domain binding glutamate-rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	X	q21.1	1	81201943	81298547	-2.30	1.58E-16
17	ENSG00000130176	CNN1	"calponin 1, basic, smooth muscle [Source:HGNC Symbol;Acc:HGNC:2155]"	19	p13.2	1	11538717	11550323	-1.79	1.86E-16
18	ENSG00000246922	UBAP1L	ubiquitin associated protein 1-like [Source:HGNC Symbol;Acc:HGNC:40028]	15	q22.31	-1	65092770	65115197	3.07	4.26E-16
19	ENSG00000141052	MYOCD	myocardin [Source:HGNC Symbol;Acc:HGNC:16067]	17	p12	1	12665890	12768949	-2.25	4.27E-16
20	ENSG00000065534	MYLK	myosin light chain kinase [Source:HGNC Symbol;Acc:HGNC:7590]	3	q21.1	-1	123610049	123884331	-2.21	5.91E-16
21	ENSG00000101109	STK4	serine/threonine kinase 4 [Source:HGNC Symbol;Acc:HGNC:11408]	20	q13.12	1	44966474	45079959	1.07	6.71E-16
22	ENSG00000134343	ANO3	anoctamin 3 [Source:HGNC Symbol;Acc:HGNC:14004]	11	p14.2	1	26309599	26663288	1.30	8.30E-16
23	ENSG00000179604	CDC42EP4	CDC42 effector protein (Rho GTPase binding) 4 [Source:HGNC Symbol;Acc:HGNC:17147]	17	q25.1	-1	73283624	73312175	-1.67	1.84E-15
24	ENSG00000099250	NRP1	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]	10	p11.22	-1	33177492	33336262	2.60	2.20E-15
25	ENSG00000151881	C5orf28	chromosome 5 open reading frame 28 [Source:HGNC Symbol;Acc:HGNC:26139]	5	p12	-1	43444252	43483893	1.41	2.24E-15
26	ENSG00000122547	EEPD1	endonuclease/exonuclease/phosphatase family domain containing 1 [Source:HGNC Symbol;Acc:HGNC:22223]	7	p14.2	1	36153149	36301543	1.34	2.39E-15
27	ENSG00000075151	EIF4G3	"eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:HGNC:3298]"	1	p36.12	-1	20806292	21176888	1.27	3.87E-15
28	ENSG00000128591	FLNC	"filamin C, gamma [Source:HGNC Symbol;Acc:HGNC:3756]"	7	q32.1	1	128830377	128859274	-1.80	4.73E-15
29	ENSG00000213366	GSTM2	glutathione S-transferase mu 2 (muscle) [Source:HGNC Symbol;Acc:HGNC:4634]	1	p13.3	1	109668022	109709551	-1.91	6.02E-15
30	ENSG00000227598			6	q27	-1	166969626	166999065	2.63	9.00E-15
31	ENSG00000198848	CES1	carboxylesterase 1 [Source:HGNC Symbol;Acc:HGNC:1863]	16	q12.2	-1	55802851	55833337	-1.84	9.12E-15
32	ENSG00000007264	MATK	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]	19	p13.3	-1	3777970	3802129	1.47	1.30E-14
33	ENSG00000112319	EYA4	EYA transcriptional coactivator and phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:3522]	6	q23.2	1	133240598	133532120	-1.10	4.33E-14
34	ENSG00000115641	FHL2	four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]	2	q12.2	-1	105357712	105438513	-2.63	6.65E-14
35	ENSG00000146477	SLC22A3	"solute carrier family 22 (organic cation transporter), member 3 [Source:HGNC Symbol;Acc:HGNC:10967]"	6	q25.3	1	160348268	160452581	-3.82	2.80E-13
36	ENSG00000136546	SCN7A	"sodium channel, voltage gated, type VII alpha subunit [Source:HGNC Symbol;Acc:HGNC:10594]"	2	q24.3	-1	166403573	166494247	-1.21	5.41E-13
37	ENSG00000101938	CHRDL1	chordin-like 1 [Source:HGNC Symbol;Acc:HGNC:29861]	X	q23	-1	110673856	110795819	-1.63	6.48E-13
38	ENSG00000163794	UCN	urocortin [Source:HGNC Symbol;Acc:HGNC:12516]	2	p23.3	-1	27307400	27308445	2.61	9.53E-13
39	ENSG00000152137	HSPB8	heat shock 22kDa protein 8 [Source:HGNC Symbol;Acc:HGNC:30171]	12	q24.23	1	119178642	119221131	-1.71	1.08E-12
40	ENSG00000183317	EPHA10	EPH receptor A10 [Source:HGNC Symbol;Acc:HGNC:19987]	1	p34.3	-1	37713880	37765133	1.30	1.15E-12
41	ENSG00000185842	DNAH14	"dynein, axonemal, heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:2945]"	1	q42.12	1	224896262	225399292	2.09	1.68E-12
42	ENSG00000165028	NIPSNAP3B	nipsnap homolog 3B (C. elegans) [Source:HGNC Symbol;Acc:HGNC:23641]	9	q31.1	1	104764157	104777457	5.20	2.47E-12
43	ENSG00000182253	SYNM	"synemin, intermediate filament protein [Source:HGNC Symbol;Acc:HGNC:24466]"	15	q26.3	1	99098217	99135593	-1.71	2.98E-12
44	ENSG00000172935	MRGPRF	"MAS-related GPR, member F [Source:HGNC Symbol;Acc:HGNC:24828]"	11	q13.3	-1	69004395	69013409	-1.69	3.03E-12
45	ENSG00000138735	PDE5A	"phosphodiesterase 5A, cGMP-specific [Source:HGNC Symbol;Acc:HGNC:8784]"	4	q26	-1	119494395	119628991	-0.92	3.47E-12
