rank	ensembl_id	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
1	ENSG00000185842	DNAH14	"dynein, axonemal, heavy chain 14 [Source:HGNC Symbol;Acc:HGNC:2945]"	1	q42.12	1	224896262	225399292	2.569371131	8.39E-62
2	ENSG00000164300	SERINC5	serine incorporator 5 [Source:HGNC Symbol;Acc:HGNC:18825]	5	q14.1	-1	80111651	80256079	2.7786491	1.70E-57
3	ENSG00000105974	CAV1	"caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:HGNC:1527]"	7	q31.2	1	116524785	116561184	-5.581153768	1.27E-56
4	ENSG00000075151	EIF4G3	"eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:HGNC:3298]"	1	p36.12	-1	20806292	21176888	2.542811187	3.56E-56
5	ENSG00000144355	DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	2	q31.1	1	172084740	172089677	6.300020732	8.24E-55
6	ENSG00000179364	PACS2	phosphofurin acidic cluster sorting protein 2 [Source:HGNC Symbol;Acc:HGNC:23794]	14	q32.33	1	105300563	105398147	-3.295134539	1.04E-54
7	ENSG00000116132	PRRX1	paired related homeobox 1 [Source:HGNC Symbol;Acc:HGNC:9142]	1	q24.2	1	170662728	170739419	-4.698315309	2.51E-54
8	ENSG00000134602	STK26	serine/threonine protein kinase 26 [Source:HGNC Symbol;Acc:HGNC:18174]	X	q26.2	1	132023265	132075943	-3.266025798	1.13E-53
9	ENSG00000138356	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	2	q33.1	1	200585868	200677064	-4.764919173	1.54E-53
10	ENSG00000075292	ZNF638	zinc finger protein 638 [Source:HGNC Symbol;Acc:HGNC:17894]	2	p13.3	1	71276561	71435069	2.842203629	5.58E-51
11	ENSG00000107566	ERLIN1	ER lipid raft associated 1 [Source:HGNC Symbol;Acc:HGNC:16947]	10	q24.31	-1	100150094	100188334	-2.716988614	2.54E-50
12	ENSG00000140455	USP3	ubiquitin specific peptidase 3 [Source:HGNC Symbol;Acc:HGNC:12626]	15	q22.31	1	63504511	63594640	2.411467103	1.02E-49
13	ENSG00000151116	UEVLD	UEV and lactate/malate dehyrogenase domains [Source:HGNC Symbol;Acc:HGNC:30866]	11	p15.1	-1	18529609	18588747	-3.427145679	1.64E-49
14	ENSG00000128714	HOXD13	homeobox D13 [Source:HGNC Symbol;Acc:HGNC:5136]	2	q31.1	1	176092891	176095938	-4.315371494	1.98E-48
15	ENSG00000071537	SEL1L	sel-1 suppressor of lin-12-like (C. elegans) [Source:HGNC Symbol;Acc:HGNC:10717]	14	q31.1	-1	81471549	81533861	-3.227053833	2.02E-48
16	ENSG00000034693	PEX3	peroxisomal biogenesis factor 3 [Source:HGNC Symbol;Acc:HGNC:8858]	6	q24.2	1	143450807	143490010	2.058365307	2.40E-47
17	ENSG00000104964	AES	amino-terminal enhancer of split [Source:HGNC Symbol;Acc:HGNC:307]	19	p13.3	-1	3052910	3063107	2.004047534	4.26E-47
18	ENSG00000131508	UBE2D2	ubiquitin-conjugating enzyme E2D 2 [Source:HGNC Symbol;Acc:HGNC:12475]	5	q31.2	1	139526431	139628433	1.39324102	5.08E-47
19	ENSG00000124209	RAB22A	"RAB22A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9764]"	20	q13.32	1	58309696	58367507	2.064402712	1.05E-46
20	ENSG00000073712	FERMT2	fermitin family member 2 [Source:HGNC Symbol;Acc:HGNC:15767]	14	q22.1	-1	52857268	52952435	-4.061513	1.91E-46
21	ENSG00000163694	RBM47	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	4	p14	-1	40423267	40630875	2.993899003	1.28E-44
22	ENSG00000112078	KCTD20	potassium channel tetramerization domain containing 20 [Source:HGNC Symbol;Acc:HGNC:21052]	6	p21.31	1	36442767	36491143	-2.02994599	2.66E-44
