rank	ensembl_id	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
1	ENSG00000138356	AOX1	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	2	q33.1	1	200585868	200677064	-2.02	3.56E-157
2	ENSG00000154188	ANGPT1	angiopoietin 1 [Source:HGNC Symbol;Acc:HGNC:484]	8	q23.1	-1	107249482	107498055	-1.61	1.04E-156
3	ENSG00000235845			3	p21.31	1	44899178	44900925	0.63	4.12E-155
4	ENSG00000184905	TCEAL2	transcription elongation factor A (SII)-like 2 [Source:HGNC Symbol;Acc:HGNC:29818]	X	q22.1	1	102125688	102127711	-2.42	2.76E-136
5	ENSG00000197565	COL4A6	"collagen, type IV, alpha 6 [Source:HGNC Symbol;Acc:HGNC:2208]"	X	q22.3	-1	108155607	108439497	-1.67	1.39E-133
6	ENSG00000106258	CYP3A5	"cytochrome P450, family 3, subfamily A, polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:2638]"	7	q22.1	-1	99648194	99679998	-1.83	4.41E-132
7	ENSG00000126950	TMEM35	transmembrane protein 35 [Source:HGNC Symbol;Acc:HGNC:25864]	X	q22.1	1	101078720	101096364	-2.06	2.46E-128
8	ENSG00000159263	SIM2	single-minded family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883]	21	q22.13	1	36699133	36749917	2.79	1.53E-124
9	ENSG00000170190	SLC16A5	"solute carrier family 16 (monocarboxylate transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:10926]"	17	q25.1	1	75087727	75106162	-1.88	1.49E-117
10	ENSG00000144355	DLX1	distal-less homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2914]	2	q31.1	1	172084740	172089677	3.55	1.48E-115
11	ENSG00000105974	CAV1	"caveolin 1, caveolae protein, 22kDa [Source:HGNC Symbol;Acc:HGNC:1527]"	7	q31.2	1	116524785	116561184	-1.97	2.75E-114
12	ENSG00000125170	DOK4	docking protein 4 [Source:HGNC Symbol;Acc:HGNC:19868]	16	q21	-1	57471922	57487327	-1.11	4.47E-113
13	ENSG00000105707	HPN	hepsin [Source:HGNC Symbol;Acc:HGNC:5155]	19	q13.11	1	35040506	35066571	1.86	2.02E-109
14	ENSG00000105971	CAV2	caveolin 2 [Source:HGNC Symbol;Acc:HGNC:1528]	7	q31.2	1	116287380	116508541	-1.45	3.56E-109
15	ENSG00000130529	TRPM4	"transient receptor potential cation channel, subfamily M, member 4 [Source:HGNC Symbol;Acc:HGNC:17993]"	19	q13.33	1	49157741	49211836	2.15	2.49E-106
16	ENSG00000165078	CPA6	carboxypeptidase A6 [Source:HGNC Symbol;Acc:HGNC:17245]	8	q13.2	-1	67422125	67746345	-2.15	4.48E-106
17	ENSG00000154655	L3MBTL4	l(3)mbt-like 4 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:26677]	18	p11.31	-1	5954706	6415237	-1.18	5.85E-104
18	ENSG00000175040	CHST2	carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2 [Source:HGNC Symbol;Acc:HGNC:1970]	3	q24	1	143119331	143124014	-1.19	1.42E-103
19	ENSG00000161055	SCGB3A1	"secretoglobin, family 3A, member 1 [Source:HGNC Symbol;Acc:HGNC:18384]"	5	q35.3	-1	180590103	180591540	-2.54	6.35E-103
20	ENSG00000073282	TP63	tumor protein p63 [Source:HGNC Symbol;Acc:HGNC:15979]	3	q28	1	189631416	189897279	-2.3	2.77E-102
21	ENSG00000019549	SNAI2	snail family zinc finger 2 [Source:HGNC Symbol;Acc:HGNC:11094]	8	q11.21	-1	48917690	48921740	-1.34	3.33E-102
22	ENSG00000109846	CRYAB	"crystallin, alpha B [Source:HGNC Symbol;Acc:HGNC:2389]"	11	q23.1	-1	111908565	111923722	-1.8	2.39E-101
23	ENSG00000181195	PENK	proenkephalin [Source:HGNC Symbol;Acc:HGNC:8831]	8	q12.1	-1	56436674	56446734	-2.24	7.23E-101
24	ENSG00000159176	CSRP1	cysteine and glycine-rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2469]	1	q32.1	-1	201483530	201509456	-1.36	1.09E-99
25	ENSG00000143196	DPT	dermatopontin [Source:HGNC Symbol;Acc:HGNC:3011]	1	q24.2	-1	168695459	168729264	-2.06	3.30E-99
26	ENSG00000206075	SERPINB5	"serpin peptidase inhibitor, clade B (ovalbumin), member 5 [Source:HGNC Symbol;Acc:HGNC:8949]"	18	q21.33	1	63476761	63505085	-1.98	3.69E-99
27	ENSG00000173638	SLC19A1	"solute carrier family 19 (folate transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10937]"	21	q22.3	-1	45493572	45544411	1.32	6.62E-99
28	ENSG00000171208	NETO2	neuropilin (NRP) and tolloid (TLL)-like 2 [Source:HGNC Symbol;Acc:HGNC:14644]	16	q12.1	-1	47077703	47143997	1.63	7.67E-99
