rank	ensembl_id	hgnc_symbol	description	chromosome_name	band	strand	start_position	end_position	average_log2fc	combined_p
1	ENSG00000051341	POLQ	"polymerase (DNA directed), theta [Source:HGNC Symbol;Acc:HGNC:9186]"	3	q13.33	-1	121431427	121546641	3.05	2.19E-97
2	ENSG00000174343	CHRNA9	"cholinergic receptor, nicotinic, alpha 9 (neuronal) [Source:HGNC Symbol;Acc:HGNC:14079]"	4	p14	1	40335329	40355217	7.42	5.07E-89
3	ENSG00000060718	COL11A1	"collagen, type XI, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2186]"	1	p21.1	-1	102876467	103108496	3.42	2.30E-71
4	ENSG00000205531	NAP1L4	nucleosome assembly protein 1-like 4 [Source:HGNC Symbol;Acc:HGNC:7640]	11	p15.4	-1	2944431	2992377	3.41	4.68E-65
5	ENSG00000163017	ACTG2	"actin, gamma 2, smooth muscle, enteric [Source:HGNC Symbol;Acc:HGNC:145]"	2	p13.1	1	73892314	73919865	-9.00	3.40E-64
6	ENSG00000172061	LRRC15	leucine rich repeat containing 15 [Source:HGNC Symbol;Acc:HGNC:20818]	3	q29	-1	194355247	194369743	2.33	4.62E-64
7	ENSG00000173120	KDM2A	lysine (K)-specific demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]	11	q13.2	1	67119269	67258087	1.13	3.18E-56
8	ENSG00000169083	AR	androgen receptor [Source:HGNC Symbol;Acc:HGNC:644]	X	q12	1	67544032	67730619	3.21	7.88E-49
9	ENSG00000029559	IBSP	integrin-binding sialoprotein [Source:HGNC Symbol;Acc:HGNC:5341]	4	q22.1	1	87799581	87812435	4.58	4.86E-46
10	ENSG00000165970	SLC6A5	"solute carrier family 6 (neurotransmitter transporter), member 5 [Source:HGNC Symbol;Acc:HGNC:11051]"	11	p15.1	1	20599400	20659285	4.49	1.06E-45
11	ENSG00000066279	ASPM	"asp (abnormal spindle) homolog, microcephaly associated (Drosophila) [Source:HGNC Symbol;Acc:HGNC:19048]"	1	q31.3	-1	197084128	197146694	4.97	1.58E-45
12	ENSG00000130176	CNN1	"calponin 1, basic, smooth muscle [Source:HGNC Symbol;Acc:HGNC:2155]"	19	p13.2	1	11538717	11550323	-5.69	3.49E-43
13	ENSG00000163808	KIF15	kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]	3	p21.31	1	44761717	44873376	3.91	6.57E-42
14	ENSG00000143127	ITGA10	"integrin, alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]"	1	q21.1	-1	145891208	145910189	1.15	1.72E-41
15	ENSG00000117724	CENPF	"centromere protein F, 350/400kDa [Source:HGNC Symbol;Acc:HGNC:1857]"	1	q41	1	214603195	214664588	3.49	4.65E-41
16	ENSG00000176165	FOXG1	forkhead box G1 [Source:HGNC Symbol;Acc:HGNC:3811]	14	q12	1	28765388	28770277	4.59	9.09E-41
17	ENSG00000241224		uncharacterized LOC401081 [Source:EntrezGene;Acc:401081]	3	q13.13	1	109118252	109150514	5.78	2.83E-40
18	ENSG00000129315	CCNT1	cyclin T1 [Source:HGNC Symbol;Acc:HGNC:1599]	12	q13.12	-1	48688458	48716998	1.05	6.08E-40
19	ENSG00000160218	TRAPPC10	trafficking protein particle complex 10 [Source:HGNC Symbol;Acc:HGNC:11868]	21	q22.3	1	44012319	44106552	1.25	2.40E-39
20	ENSG00000169427	KCNK9	"potassium channel, two pore domain subfamily K, member 9 [Source:HGNC Symbol;Acc:HGNC:6283]"	8	q24.3	-1	139600838	139703056	4.32	3.07E-39
